#{"t_start": 1606164716.281729, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,171.40631
-200.0,200,171.690402
-200.0,200,171.971858
-200.0,200,172.254849
-200.0,200,172.29885
-200.0,200,172.580779
-200.0,200,172.879581
-200.0,200,173.167147
-200.0,200,173.444297
-200.0,200,173.485741
-200.0,200,173.781679
-200.0,200,174.058839
-200.0,200,174.342741
-200.0,200,174.384622
-200.0,200,174.672395
-200.0,200,174.959022
-200.0,200,175.238948
-200.0,200,175.518691
-200.0,200,175.561801
-200.0,200,175.854266
-200.0,200,176.146628
-200.0,200,176.435514
-200.0,200,176.478514
-200.0,200,176.760558
-200.0,200,177.035979
-200.0,200,177.32082
-200.0,200,177.600388
-200.0,200,177.649846
-200.0,200,177.935179
-200.0,200,178.218572
-200.0,200,178.501248
-200.0,200,178.791548
-200.0,200,178.835361
-200.0,200,179.118247
-200.0,200,179.400206
-200.0,200,179.691853
-200.0,200,179.735406
-200.0,200,180.023014
-200.0,200,180.307731
-200.0,200,180.589247
-200.0,200,180.909781
-200.0,200,180.952244
-200.0,200,181.242241
-200.0,200,181.521834
-200.0,200,181.815097
-200.0,200,181.862869
-200.0,200,182.163044
-200.0,200,182.442618
-200.0,200,182.730868
-200.0,200,183.012598
-200.0,200,183.059128
-200.0,200,183.340142
-200.0,200,183.618465
-200.0,200,183.914
-200.0,200,183.95674
-200.0,200,184.246618
-200.0,200,184.521961
-200.0,200,184.813691
-200.0,200,185.087723
-200.0,200,185.130571
-200.0,200,185.424693
-200.0,200,185.704485
-200.0,200,185.988136
-200.0,200,186.277454
-200.0,200,186.320755
-200.0,200,186.605842
-200.0,200,186.896657
-200.0,200,187.178662
-200.0,200,187.225555
-200.0,200,187.502636
-200.0,200,187.805286
-200.0,200,188.096053
-200.0,200,188.378827
-200.0,200,188.421044
-200.0,200,188.705737
-200.0,200,189.00435
-200.0,200,189.287018
-200.0,200,189.328648
-200.0,200,189.606927
-200.0,200,189.901147
-200.0,200,190.191511
-200.0,200,190.474281
-200.0,200,190.515938
-200.0,200,190.808068
-200.0,200,191.084628
-200.0,200,191.3792
-200.0,200,191.422818
-200.0,200,191.702355
-200.0,200,192.004421
-200.0,200,192.286686
-200.0,200,192.567632
-200.0,200,192.611062
-200.0,200,192.896637
-200.0,200,193.17921
-200.0,200,193.462318
-200.0,200,193.749323
-200.0,200,193.797862
-200.0,200,194.087624
-200.0,200,194.372604
-200.0,200,194.653971
-200.0,200,194.700724
-200.0,200,194.984364
-200.0,200,195.272386
-200.0,200,195.554989
-200.0,200,195.843573
-200.0,200,195.893641
-200.0,200,196.175863
-200.0,200,196.460958
-200.0,200,196.74416
-200.0,200,196.785971
-200.0,200,197.078542
-200.0,200,197.3646
-200.0,200,197.670935
-200.0,200,197.970081
-200.0,200,198.011774
-200.0,200,198.294536
-200.0,200,198.578757
-200.0,200,198.869841
-200.0,200,198.91256
-200.0,200,199.197765
-200.0,200,199.482799
-200.0,200,199.762525
-200.0,200,200.053365
-200.0,200,200.095634
-200.0,200,200.380877
-200.0,200,200.665945
-200.0,200,200.951453
-200.0,200,201.226598
-200.0,200,201.268731
-200.0,200,201.551955
-200.0,200,201.841563
-200.0,200,202.125482
-200.0,200,202.169551
-200.0,200,202.449236
-200.0,200,202.727364
-200.0,200,203.015325
-200.0,200,203.29632
-200.0,200,203.33732
-200.0,200,203.61721
-200.0,200,203.904416
-200.0,200,204.194313
-200.0,200,204.236641
-200.0,200,204.523548
-200.0,200,204.804254
-200.0,200,205.087327
-200.0,200,205.384614
-200.0,200,205.428859
-200.0,200,205.709161
-200.0,200,206.001043
-200.0,200,206.278004
-200.0,200,206.324772
-200.0,200,206.618295
-200.0,200,206.895961
-200.0,200,207.180539
-200.0,200,207.463596
-200.0,200,207.510588
-200.0,200,207.797004
-200.0,200,208.084386
-200.0,200,208.363951
-200.0,200,208.646651
-200.0,200,208.69242
-200.0,200,208.985409
-200.0,200,209.267409
-200.0,200,209.551825
-200.0,200,209.595206
-200.0,200,209.888743
-200.0,200,210.168442
-200.0,200,210.451504
-200.0,200,210.736543
-200.0,200,210.778814
-200.0,200,211.064451
-200.0,200,211.344847
-200.0,200,211.626655
-200.0,200,211.669998
-200.0,200,211.956536
-200.0,200,212.239977
-200.0,200,212.524386
-200.0,200,212.816698
-200.0,200,212.859573
-200.0,200,213.142261
-200.0,200,213.426059
-200.0,200,213.716579
-200.0,200,213.762477
-200.0,200,214.050101
-200.0,200,214.332879
-200.0,200,214.621884
-200.0,200,214.905723
-200.0,200,214.947612
-200.0,200,215.234892
-200.0,200,215.518108
-200.0,200,215.801596
-200.0,200,216.092185
-200.0,200,216.134519
-200.0,200,216.411361
-200.0,200,216.699907
-200.0,200,216.983883
-200.0,200,217.030974
-200.0,200,217.309574
-200.0,200,217.594645
-200.0,200,217.878179
-200.0,200,218.169009
-200.0,200,218.213819
-158.0,158,218.483811
-200.0,200,218.772779
-200.0,200,219.054458
-200.0,200,219.099624
-200.0,200,219.378866
-200.0,200,219.663869
-200.0,200,219.951838
-200.0,200,219.994068
-200.0,200,220.282042
-200.0,200,220.574213
-200.0,200,220.869274
-200.0,200,221.168082
-200.0,200,221.210463
-200.0,200,221.495863
-200.0,200,221.78255
-200.0,200,222.0732
-200.0,200,222.115699
-200.0,200,222.395215
-200.0,200,222.682212
-200.0,200,222.968753
-200.0,200,223.248622
-200.0,200,223.291838
-200.0,200,223.573435
-200.0,200,223.863833
-200.0,200,224.155363
-200.0,200,224.197933
-200.0,200,224.478364
-200.0,200,224.760206
-200.0,200,225.041274
-200.0,200,225.328882
-200.0,200,225.370736
-200.0,200,225.656903
-200.0,200,225.952871
-200.0,200,226.237825
-200.0,200,226.518213
-200.0,200,226.560107
-200.0,200,226.860508
-149.0,149,227.13816
-200.0,200,227.187189
-200.0,200,227.533009
-200.0,200,227.816652
-200.0,200,228.107195
-200.0,200,228.385881
-200.0,200,228.434963
-200.0,200,228.72669
-200.0,200,229.007807
-181.0,181,229.295413
-200.0,200,229.338416
-200.0,200,229.639204
-200.0,200,229.923088
-200.0,200,230.212394
-200.0,200,230.494146
-200.0,200,230.537911
-200.0,200,230.827411
-200.0,200,231.104049
-200.0,200,231.387112
-200.0,200,231.427401
-200.0,200,231.71434
-200.0,200,232.005461
-200.0,200,232.29742
-200.0,200,232.579683
-200.0,200,232.624746
-200.0,200,232.92207
-200.0,200,233.215135
-200.0,200,233.498409
-200.0,200,233.541501
-200.0,200,233.834318
-200.0,200,234.120239
-200.0,200,234.410222
-200.0,200,234.694777
-200.0,200,234.736719
-200.0,200,235.016266
-200.0,200,235.308223
-200.0,200,235.598694
-200.0,200,235.641175
-200.0,200,235.951369
-200.0,200,236.33199
-200.0,200,236.639754
-200.0,200,236.934079
-200.0,200,236.976541
-200.0,200,237.260485
-200.0,200,237.539935
-200.0,200,237.835599
-200.0,200,238.118722
-200.0,200,238.163407
-200.0,200,238.456455
-200.0,200,238.744952
-200.0,200,239.026901
-200.0,200,239.072694
-200.0,200,239.361007
-200.0,200,239.641152
-200.0,200,239.932557
-200.0,200,240.215306
-200.0,200,240.264099
-200.0,200,240.544268
-200.0,200,240.845906
-200.0,200,241.151058
-200.0,200,241.193457
-200.0,200,241.477992
-200.0,200,241.7771
-200.0,200,242.055287
-200.0,200,242.339124
-200.0,200,242.381699
-200.0,200,242.665801
-200.0,200,242.968317
-200.0,200,243.250766
-200.0,200,243.291913
-200.0,200,243.569091
-200.0,200,243.876385
-200.0,200,244.160812
-200.0,200,244.451736
-200.0,200,244.492851
-200.0,200,244.77218
-200.0,200,245.052907
-200.0,200,245.342855
-200.0,200,245.629268
-200.0,200,245.683266
-200.0,200,245.967484
-200.0,200,246.247823
-200.0,200,246.536105
-200.0,200,246.57814
-200.0,200,246.8698
-200.0,200,247.149553
-200.0,200,247.441465
-200.0,200,247.722927
-200.0,200,247.767613
-200.0,200,248.049013
-200.0,200,248.332686
-200.0,200,248.616728
-200.0,200,248.658083
-200.0,200,248.948799
-200.0,200,249.233897
-200.0,200,249.529051
-200.0,200,249.845505
-200.0,200,249.888324
-200.0,200,250.166223
-200.0,200,250.444027
-200.0,200,250.7293
-200.0,200,250.779022
-200.0,200,251.060309
-200.0,200,251.347403
-200.0,200,251.626891
-200.0,200,251.942389
-200.0,200,251.989104
-200.0,200,252.269768
-200.0,200,252.690738
-200.0,200,253.007819
-200.0,200,253.328288
-200.0,200,253.383435
-200.0,200,253.774144
-200.0,200,254.175095
-200.0,200,254.466973
-200.0,200,254.509576
-200.0,200,254.82403
-200.0,200,255.125964
-200.0,200,255.443015
-200.0,200,255.734938
-200.0,200,255.778877
-200.0,200,256.094908
-200.0,200,256.4035
-200.0,200,256.685009
-200.0,200,256.730857
-200.0,200,257.018816
-200.0,200,257.302845
-200.0,200,257.615453
-200.0,200,257.91345
-200.0,200,257.955655
-200.0,200,258.237525
-200.0,200,258.539254
-200.0,200,258.8256
-200.0,200,258.869957
-200.0,200,259.154258
-200.0,200,259.447984
-200.0,200,259.741558
-200.0,200,260.02105
-200.0,200,260.064305
-200.0,200,260.345339
-200.0,200,260.631942
-200.0,200,260.929262
-200.0,200,261.202314
-200.0,200,261.243393
-200.0,200,261.527944
-200.0,200,261.822922
-200.0,200,262.111117
-200.0,200,262.151911
-200.0,200,262.434746
-200.0,200,262.711737
-200.0,200,262.998924
-200.0,200,263.282507
-200.0,200,263.329087
-200.0,200,263.608978
-200.0,200,263.908405
-200.0,200,264.203585
-200.0,200,264.25297
-200.0,200,264.556344
-200.0,200,264.909257
-200.0,200,265.24121
-200.0,200,265.590978
-200.0,200,265.648998
-200.0,200,266.007165
-200.0,200,266.331983
-200.0,200,266.639961
-200.0,200,266.684653
-200.0,200,266.985605
-200.0,200,267.264713
-200.0,200,267.551715
-200.0,200,267.838451
-200.0,200,267.881904
-200.0,200,268.177809
-200.0,200,268.485196
-200.0,200,268.773252
-200.0,200,269.081685
-200.0,200,269.129633
-200.0,200,269.461663
-200.0,200,269.786642
-200.0,200,270.107927
-200.0,200,270.155466
-200.0,200,270.472734
-200.0,200,270.803182
-200.0,200,271.122982
-200.0,200,271.434591
-200.0,200,271.485389
-188.0,188,271.807914
-200.0,200,272.140246
-200.0,200,272.458431
-200.0,200,272.507611
-163.0,163,272.815026
-200.0,200,273.12307
-200.0,200,273.444932
-200.0,200,273.494401
-200.0,200,273.793005
-200.0,200,274.085988
-200.0,200,274.367775
-200.0,200,274.663109
-200.0,200,274.709977
-200.0,200,275.018287
-200.0,200,275.304652
-200.0,200,275.60029
-149.0,149,275.630838
-200.0,200,275.926502
-200.0,200,276.213007
-200.0,200,276.495446
-200.0,200,276.542162
-200.0,200,276.831107
-200.0,200,277.121186
-200.0,200,277.405133
-200.0,200,277.447431
-200.0,200,277.749378
-200.0,200,278.073428
-200.0,200,278.403595
-200.0,200,278.723455
-200.0,200,278.772082
-200.0,200,279.084591
-200.0,200,279.409199
-200.0,200,279.756821
-200.0,200,280.09983
-175.0,175,280.163971
-200.0,200,280.510833
-200.0,200,280.829458
-200.0,200,281.153624
-200.0,200,281.200301
-200.0,200,281.524673
-200.0,200,281.847147
-200.0,200,282.163759
-200.0,200,282.217067
-200.0,200,282.533642
