#{"t_start": 1606393646.0302458, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-97.296273,1000,3039.537681
-180.163517,164,3039.750062
-184.070486,171,3039.980985
-190.257295,143,3055.100699
-102.376576,1000,3060.218368
-101.689282,1000,3080.926439
-49.263258,1000,3085.229873
-164.884898,148,3085.418977
-28.32646,1000,3104.977902
-57.694897,1000,3107.761383
-189.356683,116,3107.922126
-56.758787,1000,3129.23248
-99.801578,1000,3135.450546
-28.112581,1000,3151.774373
-124.374514,1000,3156.45377
-121.981016,1000,3175.854737
-116.746934,1000,3181.861299
-122.109023,1000,3202.232686
-91.026087,1000,3209.056845
-25.086045,1000,3229.729547
-98.87889,1000,3236.554554
-101.437436,1000,3243.104131
-84.597653,1000,3267.330892
-49.073761,1000,3270.549102
-147.514744,576,3288.250466
-123.500725,1000,3293.483441
-80.928868,264,3293.875137
-93.503016,1000,3314.101219
-94.368579,1000,3319.478179
-82.015021,1000,3338.374794
-98.003851,1000,3343.322836
-81.797124,256,3343.68424
-90.198803,1000,3366.866428
-100.673165,179,3367.224005
-88.36061,1000,3391.559153
-98.676385,327,3392.256949
-88.615386,369,3393.184089
-94.810518,1000,3398.760669
-129.543828,270,3399.230795
-96.844823,1000,3417.244762
-115.389845,224,3417.660006
-108.693345,1000,3440.877872
-148.406617,207,3441.156141
-88.769142,1000,3444.030981
-90.637468,1000,3462.951801
-79.102085,1000,3467.994813
-135.130903,484,3468.95286
-90.464085,1000,3487.525436
-136.377853,266,3487.826903
-73.971819,1000,3491.253031
-104.663401,1000,3510.266319
-91.186344,203,3510.599693
-87.378782,1000,3530.600461
-120.714466,249,3531.013813
-82.323252,1000,3534.323943
-104.68688,1000,3553.378164
-82.719981,1000,3556.554257
-77.241699,1000,3573.171884
-98.481148,1000,3575.279864
-91.370982,1000,3592.825895
-137.747753,230,3593.15487
-115.920519,1000,3597.700278
-116.05958,1000,3616.042478
-132.439902,1000,3618.843107
-89.695044,1000,3636.397741
-127.672589,1000,3641.536449
-101.038849,1000,3659.983621
-129.679277,211,3660.267331
-113.154696,1000,3662.889497
-107.58137,1000,3681.489529
-74.926227,1000,3684.127576
-106.327385,1000,3702.142509
-79.217023,1000,3705.158565
-75.09649,1000,3724.033611
-98.271218,1000,3727.202471
-126.562818,318,3727.760757
-175.384869,384,3728.333687
-161.223588,155,3743.456545
-95.368656,1000,3747.711453
-111.187583,262,3748.130315
-92.256892,1000,3766.950222
-128.194682,1000,3772.972262
-94.237852,1000,3792.050928
-111.182568,1000,3795.319207
-111.607485,1000,3812.891777
-95.311277,1000,3815.782325
-159.975689,437,3816.586295
-94.909575,1000,3835.164954
-129.927501,1000,3839.537284
-147.342939,1000,3858.878964
-91.055811,281,3859.342721
-104.154627,209,3859.576733
-160.028142,237,3859.878016
-147.005366,242,3860.200324
-194.00927,705,3876.464109
-93.993269,1000,3878.388221
-74.650718,1000,3894.994326
-109.461041,286,3895.419004
-138.597459,1000,3898.569913
-121.050833,1000,3918.794965
-139.806295,429,3919.638691
-79.533414,1000,3922.38782
-120.679637,213,3937.273491
-106.078734,1000,3941.900875
-120.244945,334,3942.394508
-130.048595,1000,3960.919797
-126.340291,325,3961.394508
-98.277331,1000,3964.559618
-111.747036,1000,3983.676812
-94.842113,1000,3986.051257
-129.195466,1000,4003.632057
-86.543532,1000,4006.229725
-118.690381,1000,4027.06292
-202.727528,906,4029.217286
-122.565269,1000,4047.263071
-124.359589,228,4047.547447
-116.535622,375,4048.268147
-128.484523,190,4048.496668
-111.470949,1000,4069.08613
-109.51941,1000,4071.301228
-135.989342,187,4071.52497
-93.012452,465,4072.494927
-182.314491,821,4089.422709
-121.274515,277,4089.838873
-107.454734,1000,4092.171247
-118.712651,1000,4111.296501
-93.826179,1000,4114.366779
-80.446121,1000,4132.011392
-176.581146,710,4133.605384
-125.273052,1000,4153.421812
-107.920649,1000,4156.411702
-121.653142,269,4156.796509
-109.679356,1000,4175.979071
-114.336224,449,4177.092135
-108.622839,1000,4182.803102
-168.851788,1000,4204.328789
-165.971399,1000,4210.041089
-144.52235,1000,4237.269953
-105.623366,1000,4241.1674
-73.246397,1000,4264.919639
-111.938048,1000,4273.033166
-104.461659,1000,4294.290481
-140.780885,721,4296.197368
-131.054474,1000,4316.799966
-101.26796,1000,4321.040099
-143.753329,1000,4339.903947
-75.216162,1000,4342.973699
-178.032863,940,4367.400156
-141.027171,1000,4371.691827
-104.094315,1000,4394.387325
-116.299154,1000,4400.331332
-104.94244,1000,4416.673072
-131.856244,1000,4419.489919
-151.008251,123,4419.619562
-92.610039,1000,4434.731739
-133.424427,1000,4436.549071
-144.346594,1000,4450.216914
-45.84126,1000,4453.050254
-89.053017,1000,4468.268617
-196.49003,115,4468.379427
-112.316161,1000,4470.340813
-102.618426,1000,4486.742254
-172.558532,700,4488.329586
-129.035534,1000,4490.650574
-107.317945,1000,4509.199377
-59.590373,1000,4512.502555
-129.394239,1000,4527.151032
-137.681086,1000,4530.084312
-62.531293,1000,4543.103861
-98.314775,1000,4545.510666
-114.743323,1000,4560.644534
-59.805658,1000,4564.907752
-101.521949,1000,4579.643848
-95.406517,1000,4582.496501
-50.497836,1000,4598.382416
-106.250667,1000,4603.697054
-73.52813,1000,4617.98374
-66.154503,1000,4620.079757
-122.122768,1000,4636.501484
-61.824597,1000,4640.124544
-93.575351,1000,4657.005664
-88.521599,1000,4662.417084
-54.087883,1000,4681.665915
-59.129111,1000,4684.229828
-100.616423,487,4685.061981
-187.843923,642,4699.265786
-65.745854,1000,4701.921454
-138.497221,1000,4719.893652
-102.588365,1000,4724.098892
-99.97898,1000,4738.96302
-212.063431,680,4741.023568
-133.245325,259,4741.392994
-170.216734,1000,4762.220855
-59.075903,1000,4764.733899
-66.40803,1000,4785.64309
-51.179209,1000,4789.268456
-266.032254,963,4807.616672
-252.568118,923,4809.761388
-57.388908,1000,4826.579391
-230.796198,762,4827.760936
-138.012335,1000,4832.086554
-237.725008,805,4845.011733
-194.453888,605,4846.352103
-117.082449,130,4846.481848
-127.51982,221,4846.71789
-150.968009,332,4847.201617
-240.996931,732,4862.950736
-89.548739,1000,4868.396081
-152.205626,1000,4886.319511
-89.395559,1000,4889.153237
-252.374983,802,4905.953258
-95.121607,437,4906.916201
-124.190211,1000,4912.69804
-255.413546,902,4932.514793
-68.457557,1000,4935.223719
-115.27239,1000,4954.934529
-74.249071,1000,4959.545778
-179.098929,1000,4976.650899
-85.699696,1000,4982.65517
-228.522189,568,4997.972015
-99.724376,1000,5001.66961
-81.751725,1000,5006.263752
-131.96408,1000,5027.49741
-70.984847,1000,5034.147935
-127.217589,646,5053.234311
-97.392421,1000,5057.237208
-109.426675,1000,5075.740723
-237.015719,885,5078.486403
-106.353519,1000,5099.621171
-122.775156,1000,5105.432325
-96.441208,1000,5124.040052
-97.465539,1000,5129.061351
-69.383071,1000,5151.378062
-70.744797,1000,5153.864643
-33.707394,1000,5170.399209
-101.658095,1000,5173.755831
-81.50131,1000,5192.312199
-120.940051,297,5192.793107
-115.539123,1000,5197.57336
-122.61216,1000,5216.673012
-114.155712,1000,5219.934813
-121.522864,1000,5237.579331
-84.149802,1000,5243.579285
-90.491956,1000,5264.813536
-161.399046,788,5267.353251
-114.073795,1000,5284.385204
-166.647859,755,5286.13215
-92.932093,1000,5288.769323
-109.738262,1000,5303.697561
-103.845221,1000,5307.502585
-241.583425,960,5325.654001
-130.041315,1000,5328.426543
-129.434443,1000,5344.472413
-96.807745,1000,5349.115984
-113.060495,1000,5365.933437
-110.826273,1000,5369.878127
-110.922307,1000,5386.592027
-128.022994,1000,5390.38558
-114.784173,1000,5407.584163
-261.087337,992,5410.910574
-129.531547,1000,5427.154224
-92.932459,1000,5432.388474
-128.3812,1000,5450.117826
-57.466834,1000,5453.151343
-102.8727,1000,5469.767956
-60.85803,1000,5472.123296
-125.096668,1000,5488.904197
-131.42612,1000,5492.805091
-115.905271,1000,5509.243158
-94.890981,1000,5514.253777
-124.437508,1000,5531.228737
-112.136798,1000,5535.577953
-262.448324,817,5538.050188
-130.491801,1000,5556.409927
-124.902079,1000,5560.138159
-113.523337,1000,5577.135107
